pick,player,team
1,Danny Manning,LAC
2,Rik Smits,IND
3,Charles Smith,PHI
4,Chris Morris,NJN
5,Mitch Richmond,GSW
6,Hersey Hawkins,LAC
7,Tim Perry,PHO
8,Rex Chapman,CHH
9,Rony Seikaly,MIA
10,Willie Anderson,SAS
11,Will Perdue,CHI
12,Harvey Grant,WSB
13,Jeff Grayer,MIL
14,Dan Majerle,PHO
15,Gary Grant,SEA
16,Derrick Chievous,HOU
17,Eric Leckner,UTA
18,Ricky Berry,SAC
19,Rod Strickland,NYK
20,Kevin Edwards,MIA
21,Mark Bryant,POR
22,Randolph Keys,CLE
23,Jerome Lane,DEN
24,Brian Shaw,BOS
25,David Rivers,LAL
26,Rolando Ferreira,POR
27,Shelton Jones,SAS
28,Andrew Lang,PHO
29,Vinny Del Negro,SAC
30,Fennis Dembo,DET
31,Everette Stephens,PHI
32,Charles Shackleford,NJN
33,Grant Long,MIA
34,Tom Tolbert,CHH
35,Sylvester Gray,MIA
36,Ledell Eackles,WSB
37,Greg Butler,NYK
38,Dean Garrett,PHO
39,Tito Horford,MIL
40,Orlando Graham,MIA
41,Keith Smart,GSW
42,Jeff Moe,UTA
43,Todd Mitchell,DEN
44,Anthony Taylor,ATL
45,Tom Garrick,LAC
46,Morlon Wiley,DAL
47,Vernon Maxwell,DEN
48,Micheal Williams,DET
49,José Vargas,DAL
50,Steve Kerr,PHO
51,Rob Lock,LAC
52,Derrek Hamilton,NJN
53,Anthony Mason,POR
54,Jorge Gonzalez,ATL
55,Rodney Johns,PHO
56,Barry Sumpter,SAS
57,Hernán Montenegro,PHI
58,Jeff Moore,CHH
59,Nate Johnston,MIA
60,Ed Davender,WSB
61,Herbert Crook,IND
62,Derrick Lewis,CHI
63,Mike Jones,MIL
64,Winston Bennett,CLE
65,Corey Gaines,SEA
66,Dwight Boyd,DEN
67,Ricky Grace,UTA
68,Darryl Middleton,ATL
69,Phil Stinnie,NYK
70,Jerry Johnson,DAL
71,Craig Neal,POR
72,Lee Johnson,DET
73,Michael Anderson,IND
74,Gerald Paddio,BOS
75,Archie Marshall,SAS
